32	0x20	 	429431	3800575	por	As pétalas da rosa são muito delicadas.	muriloricci	2015-01-26 15:53:02	2015-01-26 15:53:02
57	0x39	9	1214	8234549	por	O consumo de comida rápida nos EUA triplicou entre 1977 e 1995.	Adelpa	2019-10-05 10:29:13	2019-10-05 10:29:13
58	0x3a	:	2690	1851050	por	Em nossa floresta mediterrânica há muitos tipos de árvores: carvalhos, pinheiros, salgueiros, freixos, olmos e outros.	luca22	2012-09-18 21:37:04	2012-09-18 21:37:18
59	0x3b	;	2291	1132687	por	Temos que baixar os preços; não somos competitivos.	alexmarcelo	2011-09-27 22:22:50	2011-09-27 22:22:50
60	0x3c	<	4	1160451	por	Aqui, você traduziu a partir da frase em < língua que você traduziu > e criou uma ligação com esta. Eu acho que é a frase em < língua que você quer traduzir > que você queria traduzir. Para fazer isso, você deve primeiramente clicar na frase em < língua que você quer traduzir > antes de clicar no botão de tradução. A frase que você está traduzindo deve estar SEMPRE situada no topo da pilha (com a letra maior), e a única visível no momento de redigir a sua tradução, isso para evitar que ela sofra influências, pois em Tatoeba as frases estão ligadas de duas em duas, e não em blocos, já que uma frase pode ter várias traduções diferentes em uma mesma língua!	alexmarcelo	2011-10-07 19:40:17	2011-10-07 19:40:17
61	0x3d	=	28	5011053	por	Princípio revogado. Se A = B e B = C, então C = A. Verdade? Talvez. Em Tatoeba, C pode ser diferente de A.	carlosalberto	2016-03-26 13:27:17	2016-03-26 13:27:17
62	0x3e	>	5	2051975	por	<<Cuide bem de meu cachorro, ok? << Fique tranquilo, você o deixou em boas mãos.>>	Ricardo14	2012-12-02 01:04:36	2012-12-02 01:04:36
63	0x3f	?	66195	6217479	por	A senhora pode me ajudar a encontrar o tubarão que engoliu a dentadura do meu avô?	carlosalberto	2017-08-30 13:17:56	2017-08-30 13:17:56
64	0x40	@	3	7500457	por	O meu e-mail é abcde@example.com.	Ricardo14	2018-11-24 00:03:52	2018-11-24 02:09:55
65	0x41	A	45379	10802177	por	Agora com 60 e muitos anos, um dos contrariadores mais notáveis dentro da agricultura americana está mais enrugado e mais grosso na cintura do que quando ele era um ajudante de fazenda no Cansas, a viver por inércia aquilo a que ele chama uma das juventudes mais mal-aproveitadas da História do planeta.	Cangarejo	2022-05-03 21:08:04	2022-11-23 19:54:03
66	0x42	B	7554	8634589	por	O Tom tem um escritório em Boston.	Ricardo14	2020-03-26 01:10:33	2020-03-26 01:10:33
67	0x43	C	15376	1059184	por	Caetano, um tipo marginal, sempre foi foragido da polícia.	alexmarcelo	2011-08-22 19:02:46	2011-08-22 19:02:46
68	0x44	D	13375	3382827	por	Desculpe, mas Mary está certa.	alexmarcelo	2014-07-16 04:14:53	2014-07-16 04:14:53
69	0x45	E	111268	6847762	por	Era o lugar perfeito.	heo598	2018-04-20 12:55:04	2018-04-20 12:55:04
70	0x46	F	9552	6576765	por	Faça suas malas.	carlosalberto	2017-12-27 21:19:15	2017-12-27 21:19:15
71	0x47	G	4404	1091332	por	Gosto deste perfume.	alexmarcelo	2011-09-09 19:33:46	2011-09-09 19:33:46
72	0x48	H	6130	6828861	por	Há várias razões para estudar vários idiomas de uma vez.	Ricardo14	2018-04-10 14:25:30	2018-04-10 22:08:29
73	0x49	I	10256	1773471	por	O ampère por metro é a unidade de intensidade de campo magnético no SI. Seu símbolo é A/m.	alexmarcelo	2012-08-14 02:14:22	2012-08-14 02:14:22
74	0x4a	J	6671	6728747	por	John correu para a estação, para pegar o último trem.	lucasmg123	2018-03-02 01:15:50	2018-03-02 01:15:50
75	0x4b	K	1029	6168612	por	Não posso imitar Ken na presença do professor.	carlosalberto	2017-07-27 14:01:04	2017-07-27 14:01:04
76	0x4c	L	4956	7811850	por	Isaac chamou Jacó, deu-lhe a bênção e ordenou: Não te cases com mulher cananeia. Vai a Padã-Aram, à casa de Batuel, teu avô materno. Casa-te lá com uma das filhas de Labão, irmão de tua mãe.	carlosalberto	2019-03-15 17:02:24	2019-03-15 17:02:24
77	0x4d	M	26954	11094659	por	Tom criticou Mary por não fazer o trabalho direito.	MrJuice	2022-09-03 13:50:03	2022-09-03 13:50:03
78	0x4e	N	37257	6310488	por	Nós já cobrimos essa matéria.	carlosalberto	2017-09-16 18:58:11	2017-09-16 18:58:11
79	0x4f	O	47881	6997382	por	O trânsito está interrompido na auto-estrada.	iart61	2018-07-15 21:03:08	2018-07-15 21:03:17
80	0x50	P	24855	9048484	por	Por que você não tenta pedir um desconto?	Ricardo14	2020-09-18 12:05:47	2020-09-18 12:05:47
81	0x51	Q	18068	11161586	por	Que os que não sabem aprendam e que os que são peritos tenham prazer em recordar.	carlosalberto	2022-10-07 00:34:38	2024-02-05 23:17:11
82	0x52	R	3856	6767807	por	Paulo veio a Roma para me cumprimentar.	lucasmg123	2018-03-13 08:54:47	2018-03-13 08:54:47
83	0x53	S	21082	1926589	por	A Suzanne é dois anos mais velha que eu.	alexmarcelo	2012-10-16 03:07:43	2012-10-16 03:07:53
84	0x54	T	76412	6114534	por	Tom sabe dançar imitando um robô.	carlosalberto	2017-05-30 11:55:03	\N
85	0x55	U	5612	1491909	por	Uma bola entrou voando pela janela.	alexmarcelo	2012-03-18 00:46:04	2012-03-18 00:46:04
86	0x56	V	36314	2637331	por	Você está procurando por mais amigos?	Ricardo14	2013-08-02 09:22:58	2013-08-02 09:23:33
87	0x57	W	771	12267131	por	Para o estudo, Wood e seus colegas acompanharam 467 recém-nascidos de cidades do interior de Baltimore, Boston, Nova Iorque e São Luís. Ao longo de três anos, eles visitaram-nos para medir os níveis e tipos de alergénios comuns nas suas casas.	Cangarejo	2024-01-14 14:29:13	2024-01-14 14:29:13
88	0x58	X	385	12312900	por	Numa conferência de imprensa na JAXA em Sagamihara, cerca de 51 quilómetros a sudoeste de Tóquio, cientistas da agência espacial disseram que a cápsula está agora guardada em segurança numa instalação de curadoria no seu centro de investigação.	Cangarejo	2024-02-12 13:06:00	2024-02-12 13:06:00
89	0x59	Y	526	2582349	por	O itérbio é um elemento químico de símbolo Yb.	alexmarcelo	2013-07-10 17:18:25	2013-07-10 17:18:25
90	0x5a	Z	555	2486213	por	O Mark Zuckerberg roubou a minha ideia!	MarlonX19	2013-06-08 17:54:42	2013-06-08 17:54:42
91	0x5b	[	22	11651060	por	Esta semana, cientistas do Instituto Johns Hopkins de Investigação da Malária anunciaram ter identificado um açúcar nos mosquitos de que o parasita causador da malária [Plasmodium falciparum] necessita. O açúcar é essencial para o movimento do parasita dentro da secção do intestino médio do corpo do mosquito.	Cangarejo	2023-04-03 14:16:54	2024-01-12 15:54:16
92	0x5c	\	2	8226662	por	\\"Os alunos têm orgulho de realmente produzir algo\\", diz Broadwater.	josivangoncalves	2019-10-02 22:54:42	2019-10-02 22:54:42
93	0x5d	]	21	10570945	por	Moléculas plenamente capazes de transmitir e armazenar informação genética [teriam de estar] disponíveis já para o primeiro ser que habitou este planeta.	carlosalberto	2021-12-20 00:52:53	2021-12-20 00:52:53
94	0x5e	^	1	2672187	por	O trema (¨), o acento grave (`), o acento agudo (´) e o acento circunflexo (^) são sinais diacríticos.	alexmarcelo	2013-08-13 00:21:53	2013-08-13 00:21:53
95	0x5f	_	7	8181720	por	A frase #3559685 de Soweli_Elepanto me fez pensar que Zamenhof atribuiu ao advérbio "nome", em Esperanto, o significado de "exatamente", por influência da palavra russa "именно", possivelmente derivada de "имя" (nome).	carlosalberto	2019-09-11 22:44:18	2024-02-04 19:56:44
96	0x60	`	1	2672187	por	O trema (¨), o acento grave (`), o acento agudo (´) e o acento circunflexo (^) são sinais diacríticos.	alexmarcelo	2013-08-13 00:21:53	2013-08-13 00:21:53
97	0x61	a	396268	8239764	por	Você cancelou a reunião.	josivangoncalves	2019-10-07 18:09:24	2019-10-07 18:09:24
98	0x62	b	98433	1017683	por	Minha mãe já trabalhou numa indústria de alimentos.	alexmarcelo	2011-08-01 23:21:34	2011-08-01 23:21:34
99	0x63	c	273362	340983	por	A vida fica cada vez mais cara.	tinacalysto	2009-12-18 14:52:50	2009-12-18 14:52:57
100	0x64	d	287730	1926960	por	Suba no telhado.	alexmarcelo	2012-10-16 05:47:32	2012-10-16 05:47:32
101	0x65	e	405679	1789173	por	Salvador Dalí foi um artista espanhol.	alexmarcelo	2012-08-21 02:58:42	2012-08-21 02:58:42
102	0x66	f	125967	8223077	por	Era para vocês fazerem isso sozinhos.	Ricardo14	2019-10-01 10:51:02	2019-10-01 10:51:02
103	0x67	g	126387	2778496	por	O Tom não conseguiu decifrar a mensagem secreta.	alexmarcelo	2013-10-08 01:43:43	2013-10-08 01:43:43
104	0x68	h	130936	5588783	por	Eu tenho que desligar agora. Amanhã eu acordo cedo.	Ricardo14	2016-11-08 02:21:25	2018-03-25 15:18:10
105	0x69	i	339065	10698468	por	Sustento que ambos somos ateus. Acontece que eu acredito em menos um deus do que tu. Quando compreenderes por que rejeitas todos os outros deuses possíveis, compreenderás por que eu rejeito o teu.	carlosalberto	2022-03-01 17:13:54	2022-03-01 17:26:21
106	0x6a	j	41593	7224884	por	Mary é uma jovem e bela mulher.	Ricardo14	2018-09-28 20:15:09	2018-09-28 20:15:09
107	0x6b	k	3056	4523045	por	Em Toki Pona, eu já adicionei a Tatoeba 200 frases.	carlosalberto	2015-09-14 14:12:25	2015-09-14 14:12:25
108	0x6c	l	230212	5624081	por	Nós chegaremos lá em duas horas.	Ricardo14	2016-11-20 00:25:03	2018-04-07 14:52:37
109	0x6d	m	337328	2978110	por	O português é um idioma que procede do latim.	alexmarcelo	2014-01-12 03:34:53	2014-01-12 03:34:53
110	0x6e	n	308915	4891879	por	Você deve estar sedento.	bill	2016-02-06 20:41:28	2016-02-06 20:41:28
111	0x6f	o	411001	660028	por	Palavras não enchem barriga.	Gyuri	2010-12-10 19:55:01	2010-12-10 19:55:01
112	0x70	p	206389	1196248	por	Um caminhão atropelou o cachorro.	alexmarcelo	2011-10-25 01:40:38	2011-10-25 01:40:38
113	0x71	q	135583	11009733	por	Agora acho que quase consigo ver.	DJ_Saidez	2022-07-21 03:50:25	2022-07-21 03:50:25
114	0x72	r	352213	10009077	por	Tenho que comprar um caderno maior.	Ricardo14	2021-05-05 13:28:18	2021-05-05 13:28:18
115	0x73	s	354681	5409817	por	Os seu pais estarão em casa esta noite?	ToinhoAlam	2016-09-07 00:22:53	2016-09-07 00:22:53
116	0x74	t	307723	7253402	por	O Tom ainda está jantando?	Ricardo14	2018-10-04 15:33:14	2018-10-04 15:33:14
117	0x75	u	334645	1341853	por	Isso pode ser feito em um dia.	portella	2012-01-06 12:41:23	2012-01-06 12:41:23
118	0x76	v	173210	11691101	por	Quem é sua advogada?	ajdavidl	2023-04-18 02:08:41	2023-04-18 02:08:41
119	0x77	w	1111	8229951	por	Quando é o seu próximo show?	josivangoncalves	2019-10-04 04:49:41	2019-10-04 04:49:41
120	0x78	x	26671	1580092	por	Há dois gatos se escondendo embaixo do carro dela.	elencw	2012-05-18 18:33:24	2012-05-18 18:33:24
121	0x79	y	11270	11068546	por	Eu e Sally trabalhamos no mesmo escritório.	alexmarcelo	2022-08-18 13:20:16	2022-08-18 13:20:16
122	0x7a	z	59790	12281313	por	Esta é a missão da Unidade de Recursos Genéticos Vegetais em Geneva, Nova Iorque. A unidade faz parte de uma rede de "bancos de sementes" financiada pelo Departamento de Agricultura dos Estados Unidos, que detém uma vasta coleção de materiais vegetais. O principal banco de sementes federal, em Fort Collins, no Colorado, contém meio milhão de sementes por si só.	Cangarejo	2024-01-22 20:03:21	2024-01-22 20:03:21
123	0x7b	{	1	4196391	por	Seja o conjunto C = {1, 2, 3, 4, 5}. A relação de pertinência entre 3 e C é expressa por a ∈ C, pois o elemento 3 pertence ao conjunto C.	alexmarcelo	2015-05-17 15:50:28	2015-05-17 15:50:28
125	0x7d	}	1	4196391	por	Seja o conjunto C = {1, 2, 3, 4, 5}. A relação de pertinência entre 3 e C é expressa por a ∈ C, pois o elemento 3 pertence ao conjunto C.	alexmarcelo	2015-05-17 15:50:28	2015-05-17 15:50:28
160	0xa0	 	153	3465023	por	Descasque as maçãs e corte-as pela metade, removendo os caroços.	carlosalberto	2014-09-01 18:14:16	2024-03-30 19:38:31
161	0xa1	¡	1	8291808	por	¡Rápido !	miguelhinojosa9	2019-10-29 18:29:08	2019-10-29 18:29:08
168	0xa8	¨	1	2672187	por	O trema (¨), o acento grave (`), o acento agudo (´) e o acento circunflexo (^) são sinais diacríticos.	alexmarcelo	2013-08-13 00:21:53	2013-08-13 00:21:53
170	0xaa	ª	28	8555230	por	Eu levei para a Sr.ª Brown.	Capistrano	2020-02-15 23:33:24	2020-02-15 23:34:52
171	0xab	«	24	11066651	por	Depois dos Aprendizes Aderentes e dos Artesãos Associados não terem conseguido ressuscitar o seu Mestre dos mortos, ele foi finalmente despertado pelo Mestre Mação usando a «influência poderosa de uma Pata de Leão».	Cangarejo	2022-08-17 12:32:31	2022-08-18 10:00:44
176	0xb0	°	20	11638345	por	Quando o chamámos, ele mostrou-nos, através do higrómetro dele, que o ar estava muito húmido, embora a temperatura estivesse a 86° Fahr., e disse-nos, o que provavelmente é verdade, que neste clima pesado e quente, qualquer ferida ou pisadura, por mais insignificante que seja, é susceptível de tornar-se grave.	Cangarejo	2023-03-30 10:45:53	2023-03-30 11:35:20
177	0xb1	±	1	12364727	por	As temperaturas máximas e mínimas do ar na estação quente foram próximas do normal (±2°F), exceto em junho e julho, que foram mais quentes do que o normal.	Cangarejo	2024-03-10 16:05:12	2024-03-10 16:05:12
178	0xb2	²	18	2775865	por	Encontre o resto da divisão de 2²⁰¹³ por 3.	carlosalberto	2013-10-06 13:46:42	2020-03-28 00:28:25
179	0xb3	³	9	2775865	por	Encontre o resto da divisão de 2²⁰¹³ por 3.	carlosalberto	2013-10-06 13:46:42	2020-03-28 00:28:25
180	0xb4	´	1	2672187	por	O trema (¨), o acento grave (`), o acento agudo (´) e o acento circunflexo (^) são sinais diacríticos.	alexmarcelo	2013-08-13 00:21:53	2013-08-13 00:21:53
183	0xb7	·	3	1066225	por	O produto 4·3·2·1 pode ser representado pela notação 4!.	alexmarcelo	2011-08-26 19:19:00	2011-08-27 20:22:23
185	0xb9	¹	4	2775865	por	Encontre o resto da divisão de 2²⁰¹³ por 3.	carlosalberto	2013-10-06 13:46:42	2020-03-28 00:28:25
186	0xba	º	88	3448570	por	Em 1º de julho de 2013, o croata se tornou a vigésima quarta língua oficial da União Europeia.	piterkeo	2014-08-23 01:22:09	2014-08-23 07:16:47
187	0xbb	»	24	11083159	por	O «Projeto Confiança», um consórcio de agências noticiosas e empresas tecnológicas que se reúne em Santa Clara, na Califórnia, pretende criar um «indicador de confiança» para informar os leitores sobre a credibilidade dos artigos noticiosos.	Cangarejo	2022-08-27 17:45:35	2022-08-27 17:45:35
189	0xbd	½	2	11717655	por	Depois da 13ª partida, Nepo e Ding estão com 6½ pontos e a disputa continua incrivelmente emocionante. Ainda falta um jogo: quem vencer será o campeão mundial de xadrez; mas se terminar empatado, haverá um desempate.	carlosalberto	2023-04-27 14:51:06	2023-04-27 14:51:06
192	0xc0	À	535	11059018	por	À primeira vista, os vídeos evocam visões de um paraíso utópico recôndito.	Cangarejo	2022-08-13 12:47:08	2023-09-27 10:01:45
193	0xc1	Á	679	11884403	por	O gladíolo provém principalmente da África do Sul, onde cerca de cinquenta espécies foram descobertas.	Cangarejo	2023-06-28 10:41:23	2023-06-28 10:41:23
194	0xc2	Â	23	1778692	por	Ângela não pregou o olho naquela noite.	alexmarcelo	2012-08-16 20:20:30	2012-08-16 20:20:30
195	0xc3	Ã	3	9727670	por	A gente trans não "escolhe" ser trans. As pessoas trans SÃO trans. Do mesmo jeito que a orientação sexual não se escolhe, a identidade de género também não. Um recordatório rápido para quem ainda pensa como no século XII.	mialiesperantistas	2021-02-05 19:29:14	2021-02-05 19:30:19
199	0xc7	Ç	1	12190780	por	O protótipo do grupo de notícias MUTAÇÃO foi criado para acelerar o ritmo da transferência das tecnologias de mutação e das descobertas do Projeto do Genoma Humano para problemas clínicos e de pesquisa. A mutação em qualquer organismo, a mutagénese ambiental e os mecanismos de mutação são discutidos, incluindo novas tecnologias de deteção de mutações, bases de dados e problemas.	Cangarejo	2023-12-02 15:33:49	2023-12-03 11:46:55
200	0xc8	È	5	9932794	por	È mentira!	Ricardo14	2021-04-02 12:45:28	2021-04-02 12:45:38
201	0xc9	É	7068	5834544	por	É verdade que ela veio aqui só para dizer isso?	Ricardo14	2017-02-06 23:51:33	2017-02-06 23:51:33
202	0xca	Ê	3	1918208	por	Chamam o segundo livro de "Êxodo", porque no início é descrita a saída dos filhos de Israel do Egito. "Êxodo" de fato significa "saída".	alexmarcelo	2012-10-13 05:51:29	2012-10-13 05:51:47
205	0xcd	Í	223	2108894	por	Planejo uma viagem para a Índia.	alexmarcelo	2012-12-28 05:03:58	2012-12-28 05:03:58
211	0xd3	Ó	135	12289458	por	No Centro de Medicina a Lêiser de Óregon, na cidade ocidental de Portland, uma equipa de cientistas está a trabalhar na criação de tecidos a partir de proteínas existentes no corpo humano. Liderados pelo cardiologista Kenton Gregory, os investigadores estão a criar tecidos biocompatíveis feitos de uma substância chamada elastina, uma proteína que é produzida naturalmente no corpo.	Cangarejo	2024-01-28 15:48:14	2024-01-28 15:48:14
212	0xd4	Ô	9	5507530	por	Ôpa, muito bom!	rogeriodecastro	2016-10-10 12:56:41	2016-10-10 12:56:41
214	0xd6	Ö	5	3011343	por	Öland, na Suécia, é rica de atrações históricas e possui uma natureza única, que inspirou o botânico Carlos Lineu a dividir as flores em espécies.	carlosalberto	2014-01-27 14:52:28	2014-01-27 14:52:28
215	0xd7	×	2	7061090	por	O sinal '×' significa "vezes".	alexmarcelo	2018-08-14 17:03:53	2018-08-14 17:03:53
216	0xd8	Ø	1	4408567	por	Fui da Dinamarca para a Suécia de carro e passei pela ponte de Øresund.	Ricardo14	2015-07-26 12:09:24	2015-07-26 12:09:24
218	0xda	Ú	18	12192394	por	Querida Úrsula, há um jovem em Némours que te idolatra. Ele não pode ver-te a trabalhar à janela sem emoções que lhe provam que o seu amor durará a vida inteira. Este jovem é dotado de uma vontade de ferro e de um espírito de perseverança que nada pode desencorajar. Recebe favoravelmente as suas palavras, pois as suas intenções são puras e ele pede humildemente a tua mão com o desejo sincero de te fazer feliz. A sua fortuna, já adequada, não é nada comparada com a que ele fará para ti quando fores sua esposa. Serás recebida na corte como a esposa de um ministro e uma das primeiras damas do país.	Cangarejo	2023-12-03 14:40:14	2023-12-06 11:44:13
223	0xdf	ß	7	937113	por	O teclado suíço não tem o ß.	alexmarcelo	2011-06-13 03:02:57	2011-06-13 03:02:57
224	0xe0	à	11119	350635	por	Vimos a montanha à distância.	vbkun	2010-01-19 04:08:05	2010-01-19 04:08:11
225	0xe1	á	78310	7067347	por	Espero estar em Nápoles no princípio do próximo mês de fevereiro.	iart61	2018-08-17 23:14:18	2018-08-17 23:14:18
226	0xe2	â	4060	8938940	por	Ela queria uma vida mais calma, mas aquilo era impossível naquela circunstâncias.	Ricardo14	2020-07-25 14:14:04	2020-07-25 14:14:25
227	0xe3	ã	126481	8062739	por	Não tenho mais tempo.	MacGyver	2019-07-19 18:10:33	2019-07-19 18:10:33
228	0xe4	ä	7	2595213	por	Spätzle é um tipo de macarrão alemão.	alexmarcelo	2013-07-15 23:49:30	2013-07-15 23:50:11
231	0xe7	ç	42436	2658242	por	Estas ações são intransferíveis.	carlosalberto	2013-08-07 01:10:56	2013-08-07 01:10:56
232	0xe8	è	23	3703941	por	Você sabia que o professor Revière apenas permite que falemos em francês nas aulas dele?	Ricardo14	2014-12-21 17:08:55	2014-12-21 17:09:05
233	0xe9	é	77108	4800040	por	A primeira pessoa a ser enviada para o espaço é conhecida por ser Yuri Gagarin, não Neil Armstrong.	danilobito	2015-12-30 17:40:05	2015-12-30 17:40:05
234	0xea	ê	75522	380496	por	Você devia contar a verdade para ele.	brauliobezerra	2010-04-18 21:28:43	2010-04-18 21:28:43
235	0xeb	ë	4	5139232	por	Jimmy tinha muita inveja dos pontinhos no nome de Zoë.	ToinhoAlam	2016-05-14 19:34:42	2016-05-14 19:34:42
236	0xec	ì	1	4951185	por	Todo mundo costuma chamar Shangai de "Módū" e Pequim de "Dìdū"	Noktuo	2016-03-03 15:16:42	2016-03-03 15:18:47
237	0xed	í	27409	6819963	por	O alemão é a terceira língua estrangeira mais ensinada nos Estados Unidos e na União Europeia.	Ricardo14	2018-04-04 20:28:27	2018-04-05 01:18:15
238	0xee	î	3	11535102	por	Amanhã vou a Nîmes.	carlosalberto	2023-02-13 19:48:40	2023-02-13 19:48:40
239	0xef	ï	1	2741081	por	Grigoriï Romanovich não é meu amigo, é apenas um conhecido.	carlosalberto	2013-09-15 12:59:20	2013-09-15 12:59:20
241	0xf1	ñ	5	10951267	por	A cento e cinquenta pés deste povoado encontra-se um grande bloco vertical de arenito, que se diz ser utilizado como ponto de referência nas observações do sol feitas por um sacerdote de Zuñi para a regulação da época de plantio e colheita, para a determinação do ano novo e para a fixação das datas de certas outras observâncias cerimoniais.	Cangarejo	2022-06-30 11:08:13	2022-11-02 20:15:54
243	0xf3	ó	28417	10511589	por	Nós conseguimos leites das vacas.	Ricardo14	2021-11-16 10:50:31	2021-11-16 10:50:31
244	0xf4	ô	4665	7874533	por	Na hora de Tamar dar à luz, descobriu-se que ia ter gêmeos. Quando ela estava no trabalho de parto, um dos gêmeos pôs a mão para fora. A parteira tomou-a e lhe atou um fio vermelho, explicando: este nasceu primeiro.	carlosalberto	2019-04-28 11:11:03	2019-04-28 11:18:24
245	0xf5	õ	6910	8493907	por	Eu quero esperar e ver o que eles propõem.	Ricardo14	2020-01-27 13:34:38	2020-01-27 13:34:38
246	0xf6	ö	19	3011630	por	Quem aperfeiçoou a invenção, fazendo-a funcionar, foi o sueco G.F. Göransson, em 1858.	carlosalberto	2014-01-27 17:51:06	2014-01-27 17:51:06
248	0xf8	ø	1	8672351	por	Jørgen está aprendendo grego.	lucasmg123	2020-04-11 20:21:16	2020-04-11 20:21:16
249	0xf9	ù	1	4892598	por	O tiramisù é o doce italiano mais conhecido no mundo.	ianna	2016-02-07 01:22:11	2016-02-07 01:22:11
250	0xfa	ú	10497	1126119	por	A última carta é minha.	alexmarcelo	2011-09-24 04:17:42	2011-09-24 04:17:42
252	0xfc	ü	22	11320013	por	Atatürk nasceu em 1881 em Tessalônica.	carlosalberto	2022-12-11 21:24:28	2022-12-11 21:24:28
257	0x101	ā	4	8268921	por	O Monumento Nacional Marinho Papahānaumokuākea é maior do que todos os parques nacionais da América combinados!	XY	2019-10-19 20:19:40	2019-10-19 20:19:40
259	0x103	ă	2	5883307	por	Vou verificar no porăo.	sergiomelo	2017-02-19 13:18:50	\N
263	0x107	ć	7	3194813	por	Dejan Kovacević foi comprado pelo FC Alpha por 8 milhões de euros.	Ricardo14	2014-04-23 02:14:56	2014-04-23 02:15:21
265	0x109	ĉ	6	1163401	por	As tipografias que não tiverem as letras “ĉ”, “ĝ”, “ĥ”, “ĵ”, “ŝ, “ŭ” poderão, em vez delas, usar “ch”, “gh”, “hh”, “jh”, “sh”, “u”.	tulio	2011-10-08 01:51:07	2011-10-08 01:51:07
275	0x113	ē	1	1176097	por	Andris Bērziņš será o novo presidente da Letônia.	paula_guisard	2011-10-14 16:34:15	2011-10-14 16:34:15
281	0x119	ę	2	4948571	por	O nome da minha esposa é Lidia Zarębowa.	Ricardo14	2016-03-02 06:24:55	2016-03-02 06:24:55
