32	0x20	 	6153	6964717	glg	Canto diñeiro tes aforrado?	iharmonize2	2018-06-27 03:46:34	2018-06-27 03:47:46
82	0x52	R	73	12313973	glg	O romanés é unha lingua oficial en Romanía, Moldavia e na provincia autónoma de Vojvodina, Serbia. Tamén é lingua oficial en varias comunidades e organizacións, como a Unión Latina e a Unión Europea.	carlosalberto	2024-02-12 22:48:58	2024-02-12 22:48:58
83	0x53	S	376	639132	glg	Se segues bebendo así, estarás bébedo moi pronto.	rosa	2010-11-28 13:13:29	2010-11-28 13:13:29
84	0x54	T	558	1578855	glg	Tom non ten febre.	termito2nd	2012-05-18 05:06:37	2012-05-18 05:06:37
85	0x55	U	103	12349955	glg	O latín é unha lingua especial. Unha frase latina pode admitir varias traducións, ou expresións, do seu significado.	carlosalberto	2024-03-02 11:51:06	2024-03-02 11:51:06
86	0x56	V	198	12111847	glg	Vaia, pateáchelo!	carlosalberto	2023-10-17 13:23:23	2023-10-17 13:23:23
87	0x57	W	2	6618679	glg	Benvido a Wikipedia.	rccg	2018-01-20 01:04:09	2018-01-20 01:04:09
88	0x58	X	93	9727699	glg	A xente trans non "escolle" ser trans. As persoas trans SON trans. Do mesmo xeito que a orientación sexual non se escolle, a identidade de xénero tampouco. Un recordatorio rápido para quen aínda pensa coma no século XII.	mialiesperantistas	2021-02-05 19:32:47	2021-02-05 19:32:47
89	0x59	Y	7	8903510	glg	Li Yuan foi o primeiro soberano da Dinastía Tang, e reinou por oito anos.	escudo119	2020-07-09 20:03:52	2020-07-09 20:03:52
90	0x5a	Z	4	1338124	glg	Como é Nova Zelandia? A súa poboación está tan dispersa coma a de Australia?	gleOsp	2012-01-04 21:59:29	2012-01-04 21:59:29
97	0x61	a	5733	957171	glg	A súa roupa sempre cheira mal.	gleOsp	2011-06-25 04:02:09	2011-06-25 04:02:33
98	0x62	b	1928	1429924	glg	De súpeto, deuse de conta de que lle faltaba a carteira.	gleOsp	2012-02-11 23:56:15	2012-02-11 23:56:15
99	0x63	c	3896	1455914	glg	O marmelo é unha especie de marmelada sólida, feita coa froita do mesmo nome.	vagalume55	2012-02-25 23:30:08	2012-02-25 23:30:08
100	0x64	d	4103	12004626	glg	Non nadaremos nesta auga fría.	carlosalberto	2023-08-19 17:45:31	2023-08-19 17:45:31
101	0x65	e	5851	650896	glg	Iso é unha perda de tempo.	rosa	2010-12-05 14:30:04	2010-12-05 14:30:04
102	0x66	f	1632	1455980	glg	Ela divertiuse moito na festa de onte.	gleOsp	2012-02-26 01:02:34	2012-02-26 01:02:41
103	0x67	g	1636	12370105	glg	A noiva, acompañada dos seus compañeiros, agarda polo noivo e, á súa chegada, ambos declaran o seu amor, tanto que a noiva, vencida de paixón, entra en éxtase.	carlosalberto	2024-03-13 18:33:22	2024-03-13 18:33:22
104	0x68	h	1604	1431374	glg	Déixame marchar!	gleOsp	2012-02-12 19:29:29	2012-02-12 19:29:29
105	0x69	i	4621	8554267	glg	Marquei o teu aniversario no meu calendario.	Capistrano	2020-02-15 16:28:41	2020-02-15 16:28:41
106	0x6a	j	9	1429024	glg	Adoitabamos quedar nunha cafetería en Shinjuku despois do traballo.	peibolvig	2012-02-11 14:49:38	2012-02-11 14:49:38
107	0x6b	k	52	5712236	glg	En mor er en kvinde.	danepo	2016-12-27 19:03:29	2016-12-27 19:03:29
108	0x6c	l	3463	1430693	glg	El agachou os xoguetes debaixo da cama.	gleOsp	2012-02-12 14:31:07	2012-02-12 14:31:07
109	0x6d	m	3930	956430	glg	Que fai a túa irmá agora?	gleOsp	2011-06-24 23:33:13	2011-06-24 23:33:13
110	0x6e	n	5069	625463	glg	Estou revisando o seu informe.	rosa	2010-11-17 20:35:50	2010-11-17 20:35:50
111	0x6f	o	5800	962756	glg	Dick achegouse a ela.	gleOsp	2011-06-27 21:22:33	2011-06-27 21:22:33
112	0x70	p	3001	12334442	glg	A lingua latina é un camiño seguro para a sabedoría.	carlosalberto	2024-02-22 23:16:16	2024-02-22 23:16:16
113	0x71	q	1485	650992	glg	Déixeme explicar por que cheguei tarde.	rosa	2010-12-05 15:03:35	2010-12-05 15:03:35
114	0x72	r	5050	1437651	glg	Deica máis ver.	gleOsp	2012-02-15 22:18:40	2012-02-15 22:18:40
115	0x73	s	5121	1515225	glg	Estou farto.	vagalume55	2012-04-03 19:40:06	2012-04-03 19:40:06
116	0x74	t	4416	3658108	glg	Tom poderá optar a liberdade condicional en cinco anos.	peibolvig	2014-11-26 01:22:46	2014-11-26 01:22:46
117	0x75	u	4302	1342367	glg	Que fermosa é a túa irmá!	vagalume55	2012-01-06 17:09:54	2012-01-06 17:10:09
118	0x76	v	1790	12194372	glg	Vale, vémonos mañá.	carlosalberto	2023-12-04 21:12:20	2023-12-04 21:12:20
119	0x77	w	14	12312041	glg	"Vou a Ottawa". "Vaia".	carlosalberto	2024-02-11 21:41:03	2024-02-11 21:41:03
120	0x78	x	1392	9727812	glg	Non me gusta este xogo chamado vivir.	mialiesperantistas	2021-02-05 20:01:19	2021-02-05 20:01:19
121	0x79	y	60	8903429	glg	Mary é podemita.	mialiesperantistas	2020-07-09 19:36:49	2020-07-09 19:36:49
122	0x7a	z	683	650977	glg	Podo preguntarlle o seu nome e enderezo?	rosa	2010-12-05 14:58:49	2010-12-05 14:58:49
161	0xa1	¡	29	1448329	glg	¡Está fervendo!	peibolvig	2012-02-22 00:38:13	2012-02-22 00:38:13
170	0xaa	ª	1	12001716	glg	A 21ª (vixésimo primeira) Enmenda anulou a 18ª (décimo oitava) e beber volveuse a legalizar nos Estados Unidos en decembro de 1933.	carlosalberto	2023-08-17 18:52:33	2023-08-17 18:56:24
171	0xab	«	1	5880308	glg	Acerbaixán chámase «Azərbaycan» en azarí.	siglepri	2017-02-18 16:33:52	2017-02-18 16:33:52
187	0xbb	»	2	12398139	glg	"Levántate, miña amada, miña fermosa, ven! A miña pomba, agochada nos ocos dos penedos, en empinadas retiradas, móstrame o teu rostro, faime oír a túa voz; porque a túa voz é doce e o teu rostro encantador.»	carlosalberto	2024-04-02 14:22:41	2024-04-02 14:26:55
191	0xbf	¿	76	1423187	glg	¿Crías que me refería a problemas nacionais?	peibolvig	2012-02-09 00:02:01	2012-02-11 03:09:38
192	0xc0	À	2	9726243	glg	No século XIX prodúxose unha revitalización da literatura en catalán e en galego. En Cataluña houbo a Renaixença ('a Renacenza') co poeta Jacint Verdaguer, o dramaturgo Àngel Guimerà e o novelista Narcís Oller. En Galicia tiveron o Rexurdimento, representado en especial por poetas: Rosalía de Castro, Manuel Curros Enríquez e Eduardo Pondal.	mialiesperantistas	2021-02-05 13:07:39	2021-02-05 13:07:39
193	0xc1	Á	27	1430755	glg	Ámote.	gleOsp	2012-02-12 14:56:36	2012-02-12 14:56:36
201	0xc9	É	140	854232	glg	Él ten poucos amigos.	Lysia	2011-04-25 21:39:34	2011-04-25 21:39:34
205	0xcd	Í	1	12019759	glg	Íamos cara á cociña.	carlosalberto	2023-08-27 15:21:05	2023-08-27 15:21:05
211	0xd3	Ó	5	1506342	glg	Ó que chegue ela, comezaremos.	siglepri	2012-03-28 01:10:15	2012-03-28 01:10:15
223	0xdf	ß	1	1727537	glg	O teclado suízo non ten o ß.	gleOsp	2012-07-26 12:18:26	2012-07-26 12:18:26
224	0xe0	à	2	9726243	glg	No século XIX prodúxose unha revitalización da literatura en catalán e en galego. En Cataluña houbo a Renaixença ('a Renacenza') co poeta Jacint Verdaguer, o dramaturgo Àngel Guimerà e o novelista Narcís Oller. En Galicia tiveron o Rexurdimento, representado en especial por poetas: Rosalía de Castro, Manuel Curros Enríquez e Eduardo Pondal.	mialiesperantistas	2021-02-05 13:07:39	2021-02-05 13:07:39
225	0xe1	á	1358	966126	glg	Está claro que o meu non é a pintura.	gleOsp	2011-06-29 18:53:51	2011-06-29 18:53:51
227	0xe3	ã	1	5218360	glg	Ela se agachou ao lado do portão.	ToinhoAlam	2016-06-17 03:05:10	2016-06-17 03:05:10
231	0xe7	ç	2	9726243	glg	No século XIX prodúxose unha revitalización da literatura en catalán e en galego. En Cataluña houbo a Renaixença ('a Renacenza') co poeta Jacint Verdaguer, o dramaturgo Àngel Guimerà e o novelista Narcís Oller. En Galicia tiveron o Rexurdimento, representado en especial por poetas: Rosalía de Castro, Manuel Curros Enríquez e Eduardo Pondal.	mialiesperantistas	2021-02-05 13:07:39	2021-02-05 13:07:39
233	0xe9	é	1252	12360763	glg	A lingua non ten ósos, porén, sendo maliciosa, é capaz de ferir a súa propia boca.	carlosalberto	2024-03-07 19:21:22	2024-03-07 19:21:22
237	0xed	í	1164	1336297	glg	Éche un nugallán, leva todo o día sen dar pancada.	gleOsp	2012-01-04 00:15:39	2012-01-04 00:16:11
238	0xee	î	1	12156538	glg	Nu, nu există nicio cameră în hotel.	carlosalberto	2023-11-11 12:51:56	2023-11-11 12:51:56
239	0xef	ï	1	1336480	glg	Cando viviamos nese lugar, oïamos voces tódalas noites.	gleOsp	2012-01-04 02:48:24	2012-01-04 02:48:24
241	0xf1	ñ	898	12287609	glg	E chega o momento no que a alma esperta do soño... E decátase de que todo era unha ilusión. Dos falsos eus, finalmente, líbrase agora... E leve e pura volta á Fonte da Creación.	carlosalberto	2024-01-27 15:00:05	2024-01-27 15:00:05
243	0xf3	ó	809	4737109	glg	Miña tía morreu de cancro de pulmón.	vagalume55	2015-11-30 22:50:37	2015-11-30 22:50:37
250	0xfa	ú	661	12329114	glg	A música ten o poder de calmar ata as bestas.	carlosalberto	2024-02-20 10:59:52	2024-02-20 10:59:52
252	0xfc	ü	3	960622	glg	Agüero: "O meu futuro hase decidir cando remate a Copa América".	gleOsp	2011-06-26 15:53:26	2011-06-26 15:53:26
259	0x103	ă	1	12156538	glg	Nu, nu există nicio cameră în hotel.	carlosalberto	2023-11-11 12:51:56	2023-11-11 12:51:56
285	0x11d	ĝ	1	1319261	glg	Pronomes persoais: “mi”, “vi”, “li”, “ŝi”, “ĝi” (para obxecto ou animal), “si”, “ni”, “vi”, “ili”, “oni”; os posesivos fórmanse pola unión da terminación adxectiva.	gleOsp	2011-12-24 15:32:19	2011-12-24 15:32:19
349	0x15d	ŝ	1	1319261	glg	Pronomes persoais: “mi”, “vi”, “li”, “ŝi”, “ĝi” (para obxecto ou animal), “si”, “ni”, “vi”, “ili”, “oni”; os posesivos fórmanse pola unión da terminación adxectiva.	gleOsp	2011-12-24 15:32:19	2011-12-24 15:32:19
601	0x259	ə	1	5880308	glg	Acerbaixán chámase «Azərbaycan» en azarí.	siglepri	2017-02-18 16:33:52	2017-02-18 16:33:52
8203	0x200b	​	4	11998120	glg	Vén xogar ao meu equipo por amor ao fútbol, ​​non polo diñeiro.	carlosalberto	2023-08-15 18:26:36	2023-08-15 18:26:36
8211	0x2013	–	2	12399571	glg	O meu amado é todo meu, e eu son súa, do pastor dos lírios! Antes de que acabe o día e medren as sombras, volve, amado, – imitando á gacela ou á súa prole –, ás escarpadas montañas!	carlosalberto	2024-04-03 19:21:41	2024-04-03 19:22:58
8212	0x2014	—	1	12124713	glg	—Logo, tamén —dixo Sancho— entende vostede de trobas? —E máis do que pensas —respondeu don Quixote— e verás cando leves unha carta, escrita en verso de arriba para abaixo, á miña señora Dulcinea de Toboso. Pois quero que saibas, Sancho, que todos ou a maioría dos cabaleiros andantes da idade pasada eran grandes trobadores e grandes músicos; que estas dúas habilidades, ou grazas, para mellor dicir, están unidas aos amantes errantes. O certo é que as coplas de pasados ​​cabaleiros teñen máis espírito que perfección.	carlosalberto	2023-10-23 21:56:22	2023-10-23 21:56:22
8220	0x201c	“	2	1319261	glg	Pronomes persoais: “mi”, “vi”, “li”, “ŝi”, “ĝi” (para obxecto ou animal), “si”, “ni”, “vi”, “ili”, “oni”; os posesivos fórmanse pola unión da terminación adxectiva.	gleOsp	2011-12-24 15:32:19	2011-12-24 15:32:19
8221	0x201d	”	2	1319261	glg	Pronomes persoais: “mi”, “vi”, “li”, “ŝi”, “ĝi” (para obxecto ou animal), “si”, “ni”, “vi”, “ili”, “oni”; os posesivos fórmanse pola unión da terminación adxectiva.	gleOsp	2011-12-24 15:32:19	2011-12-24 15:32:19
8364	0x20ac	€	1	1442668	glg	En varios países europeos, a divisa actual é o euro e o seu símbolo é "€" e o euro é a división da lira turca entre dous.	peibolvig	2012-02-18 14:22:12	2012-02-18 14:22:12
10140	0x279c	➜	1	12197784	glg	Álxebra elemental: a) sexa x o número de frases en galego; b) sexa x + 700 o número de frases en romanés; c) hoxe, x + 700 = 2x; d) cal é o valor de x? Solución: 2x = x + 700 ➜ 2x - x = 700 ➜ x = 700. Conclusión: hoxe hai 700 frases en galego e 1.400 en romanés.	carlosalberto	2023-12-06 19:22:01	2023-12-06 19:22:01
